*
time	TMax	Z	zeta	temperature	Y-AR	Y-O	Y-O2	Y-H	Y-OH	Y-H2	Y-HO2	Y-H2O2	Y-CH	Y-CO	Y-CH2	Y-HCO	Y-1-CH2	Y-CH3	Y-CH2O	Y-CH4	Y-CO2	Y-CH2OH	Y-CH3O	Y-CH3OH	Y-C2H	Y-C2H2	Y-HCCO	Y-C2H3	Y-CH2CO	Y-C2H4	Y-C2H5	Y-C2H6	Y-H2O	Y-N2	Y-C	Y-HCCOH	Y-N	Y-NO	Y-N2O	Y-NO2	Y-NH	Y-HNO	Y-NH2	Y-NNH	Y-CN	Y-NCO	Y-HCN	Y-HOCN	Y-HNCO	Y-H2CN	Y-HCNN	Y-HCNO	Y-NH3	ProgVar	ZBilger	CMassFrac	HMassFrac	OMassFrac	ZBarlow	density	chi	SumMH	Cp	mu	lambdaOverCp	W	ProdRateProgVar	ProdRateCO2	ProdRateH2O	ProdRateH2	ProdRateCO	TotalEnthalpy	TotalEnthalpy2	MonitorFunc	ProdRate-NO	ProdRatePos-NO	ProdRateNeg-NO	ProdRateNegOverYNO-NO	ProdRate-CH4	ProdRatePos-CH4	ProdRateNeg-CH4	ProdRateNegOverYNO-CH4	
0	1390.43	0.177	0.177	1202.07	1.41197e-24	3.81295e-08	0.14226	6.6692e-09	1.44531e-07	6.22604e-05	1.19171e-05	1.43327e-06	1.87852e-16	0.00389541	9.86822e-11	6.7171e-09	7.33398e-12	2.76405e-05	0.000511003	0.034321	0.00127246	1.04644e-10	2.94712e-08	3.59953e-05	3.82444e-14	4.85949e-06	2.75648e-11	3.82956e-10	3.52809e-07	0.000250779	4.4333e-08	0.000400373	0.0892416	0.727702	6.24169e-22	5.03781e-08	5.95394e-18	5.56052e-10	5.17412e-08	2.37776e-10	7.87803e-16	1.57914e-14	2.16499e-15	1.25911e-13	2.0357e-18	5.01217e-15	1.62599e-10	8.77284e-13	2.83926e-11	2.12062e-17	6.32882e-18	2.25172e-12	1.24195e-12	0.0944718	0.177	0.177	0.177	-6.21368e+27	0.177	0.265038	59	1e-99	1437.37	4.72735e-05	5.96851e-05	26.4893	0.0670577	0.00222524	0.0462841	0.00129631	0.0172521	1e-99	-225224	1e-99	-2.78446e-08	8.70466e-09	-3.65493e-08	-65.73	-0.0467359	0.0187192	-0.0654551	-1.90714	
1	1425.38	0.177	0.177	1211.39	8.9767e-24	4.60296e-08	0.141012	8.14756e-09	1.72275e-07	7.22056e-05	1.29053e-05	1.50652e-06	3.09972e-16	0.0044449	1.31587e-10	8.53506e-09	9.73398e-12	3.07721e-05	0.000552702	0.033832	0.00146467	1.36274e-10	3.37328e-08	3.86565e-05	5.72923e-14	5.75719e-06	4.07352e-11	5.231e-10	4.39982e-07	0.000281967	5.56025e-08	0.000438293	0.0901083	0.727702	1.26735e-21	5.52532e-08	9.68552e-18	6.96077e-10	5.60497e-08	2.68691e-10	1.16329e-15	2.36487e-14	3.4859e-15	1.56686e-13	3.35913e-18	8.56603e-15	2.14249e-10	1.03679e-12	3.51418e-11	3.02089e-17	1.02053e-17	2.93282e-12	1.51394e-12	0.0960901	0.177	0.177	0.177	-6.21364e+27	0.177	0.262917	59	-1.18538e+06	1439.52	4.75243e-05	6.00127e-05	26.4811	0.0815788	0.00295957	0.0553031	0.00159697	0.0217191	-225222	-225225	4.73519	-3.68195e-08	1.18817e-08	-4.87012e-08	-69.9653	-0.0554549	0.022825	-0.0782799	-2.31378	
10	2105.06	0.177	0.177	2059.21	1.8181e-25	0.00148638	0.0186182	0.000234115	0.00590655	0.0012918	4.85328e-06	1.1067e-06	3.10078e-09	0.0197029	1.59032e-08	4.91592e-08	1.53485e-09	7.32837e-08	1.91322e-07	6.3384e-08	0.0734426	1.37346e-09	1.17975e-10	1.8542e-09	2.65566e-09	3.6988e-07	5.74417e-08	1.46999e-10	8.09983e-08	5.57594e-10	1.43736e-13	7.25922e-14	0.151565	0.727664	1.79874e-09	8.41479e-09	1.37887e-08	7.9201e-05	1.54629e-07	1.47251e-08	1.29995e-08	2.26933e-08	1.21133e-08	1.07884e-08	8.42823e-09	4.04176e-08	1.7783e-06	1.21807e-08	3.03674e-07	1.63621e-11	5.16583e-12	1.65468e-08	1.46513e-08	0.246002	0.177	0.177	0.177	-6.21365e+27	0.177	0.151109	59	-1.36528e+08	1565.89	6.86162e-05	9.21104e-05	25.8716	12.8352	20.8677	6.28087	-1.22111	-13.0922	-225222	-225198	17.467	0.0299754	0.0540655	-0.0240901	-304.164	-0.00751848	0.00242222	-0.0099407	-156833	
0.1	1392.36	0.177	0.177	1202.12	8.33603e-24	3.56773e-08	0.142255	6.22311e-09	1.35792e-07	6.23609e-05	1.15521e-05	1.40871e-06	1.57484e-16	0.00389721	8.8615e-11	6.38371e-09	6.58117e-12	2.63796e-05	0.000512684	0.0343173	0.00127271	9.90839e-11	2.73337e-08	3.60082e-05	3.59401e-14	4.86048e-06	2.57309e-11	3.62335e-10	3.52787e-07	0.000251189	4.15954e-08	0.000402775	0.0892456	0.727702	4.88071e-22	5.0343e-08	5.04705e-18	5.54556e-10	5.17477e-08	2.40138e-10	7.15868e-16	1.4182e-14	1.90546e-15	1.17505e-13	1.91152e-18	4.33664e-15	1.62607e-10	8.76778e-13	2.83973e-11	2.00387e-17	5.30098e-18	2.25167e-12	1.24282e-12	0.0944779	0.177	0.177	0.177	-6.21364e+27	0.177	0.265027	59	-920098	1437.38	4.72749e-05	5.96867e-05	26.4893	0.0630174	0.00212817	0.0433104	0.00120273	0.0163761	-225222	-225224	3.8843	-2.71353e-08	8.19383e-09	-3.53291e-08	-63.7072	-0.0435649	0.0178514	-0.0614163	-1.78966	
0.01	1390.64	0.177	0.177	1202.07	1.59445e-24	3.76471e-08	0.14226	6.59766e-09	1.43058e-07	6.22682e-05	1.18678e-05	1.43285e-06	1.8281e-16	0.00389552	9.70794e-11	6.66377e-09	7.21648e-12	2.74732e-05	0.000511172	0.0343207	0.00127247	1.03755e-10	2.91823e-08	3.59968e-05	3.78488e-14	4.85947e-06	2.71504e-11	3.79543e-10	3.52805e-07	0.000250803	4.38377e-08	0.000400631	0.0892419	0.727702	6.00643e-22	5.03754e-08	5.52101e-18	5.55887e-10	5.17414e-08	2.3803e-10	7.6649e-16	1.54682e-14	2.13007e-15	1.24562e-13	2.01401e-18	4.90176e-15	1.626e-10	8.77249e-13	2.83929e-11	2.10283e-17	6.15443e-18	2.2517e-12	1.24201e-12	0.0944722	0.177	0.177	0.177	-6.21364e+27	0.177	0.265037	59	-987981	1437.37	4.72737e-05	5.96852e-05	26.4893	0.0663667	0.00220995	0.0457639	0.00128099	0.0171119	-225222	-225224	3.91694	-2.77689e-08	8.61759e-09	-3.63865e-08	-65.4567	-0.0461668	0.0186025	-0.0647693	-1.88718	
10.01	2105.06	0.177	0.177	2059.21	1.81015e-25	0.00148638	0.0186182	0.000234115	0.00590655	0.0012918	4.85328e-06	1.1067e-06	3.10078e-09	0.0197028	1.59032e-08	4.91592e-08	1.53485e-09	7.32836e-08	1.91322e-07	6.33839e-08	0.0734426	1.37346e-09	1.17975e-10	1.85419e-09	2.65566e-09	3.69881e-07	5.74418e-08	1.46998e-10	8.09984e-08	5.57588e-10	1.43734e-13	7.25917e-14	0.151565	0.727664	1.79874e-09	8.41481e-09	1.37891e-08	7.92051e-05	1.54629e-07	1.47258e-08	1.3e-08	2.26943e-08	1.21138e-08	1.07884e-08	8.42856e-09	4.04192e-08	1.77837e-06	1.21812e-08	3.03687e-07	1.63627e-11	5.16583e-12	1.65477e-08	1.46519e-08	0.246002	0.177	0.177	0.177	-6.21365e+27	0.177	0.151109	59	-1.36528e+08	1565.89	6.86162e-05	9.21104e-05	25.8716	12.8352	20.8677	6.28087	-1.22111	-13.0922	-225222	-225198	17.467	0.0299762	0.0540675	-0.0240913	-304.164	-0.00751845	0.00242222	-0.00994066	-156833	
10.02	2105.06	0.177	0.177	2059.21	1.80223e-25	0.00148638	0.0186182	0.000234115	0.00590655	0.0012918	4.85328e-06	1.1067e-06	3.10078e-09	0.0197028	1.59032e-08	4.91591e-08	1.53485e-09	7.32836e-08	1.91322e-07	6.33837e-08	0.0734426	1.37346e-09	1.17975e-10	1.85419e-09	2.65567e-09	3.69881e-07	5.74419e-08	1.46997e-10	8.09985e-08	5.57582e-10	1.43733e-13	7.25913e-14	0.151565	0.727664	1.79874e-09	8.41482e-09	1.37895e-08	7.92091e-05	1.54629e-07	1.47266e-08	1.30004e-08	2.26953e-08	1.21143e-08	1.07884e-08	8.42889e-09	4.04208e-08	1.77844e-06	1.21817e-08	3.037e-07	1.63634e-11	5.16583e-12	1.65485e-08	1.46526e-08	0.246002	0.177	0.177	0.177	-6.21365e+27	0.177	0.151109	59	-1.36528e+08	1565.89	6.86162e-05	9.21104e-05	25.8716	12.8352	20.8677	6.28088	-1.22111	-13.0922	-225222	-225198	17.467	0.0299771	0.0540696	-0.0240925	-304.163	-0.00751842	0.00242221	-0.00994063	-156833	
10.03	2105.06	0.177	0.177	2059.21	1.79434e-25	0.00148638	0.0186182	0.000234115	0.00590655	0.0012918	4.85328e-06	1.1067e-06	3.10078e-09	0.0197028	1.59032e-08	4.91591e-08	1.53485e-09	7.32835e-08	1.91322e-07	6.33835e-08	0.0734426	1.37346e-09	1.17974e-10	1.85419e-09	2.65567e-09	3.69882e-07	5.7442e-08	1.46996e-10	8.09986e-08	5.57576e-10	1.43731e-13	7.25909e-14	0.151565	0.727664	1.79874e-09	8.41484e-09	1.37899e-08	7.92131e-05	1.54629e-07	1.47273e-08	1.30009e-08	2.26964e-08	1.21149e-08	1.07884e-08	8.42922e-09	4.04224e-08	1.77851e-06	1.21822e-08	3.03712e-07	1.6364e-11	5.16583e-12	1.65494e-08	1.46533e-08	0.246002	0.177	0.177	0.177	-6.21365e+27	0.177	0.151109	59	-1.36528e+08	1565.89	6.86162e-05	9.21104e-05	25.8716	12.8352	20.8676	6.28089	-1.22111	-13.0922	-225222	-225198	17.467	0.0299779	0.0540716	-0.0240937	-304.163	-0.00751839	0.00242221	-0.0099406	-156833	
10.04	2105.06	0.177	0.177	2059.21	1.78649e-25	0.00148638	0.0186182	0.000234115	0.00590655	0.0012918	4.85327e-06	1.1067e-06	3.10078e-09	0.0197028	1.59032e-08	4.91591e-08	1.53485e-09	7.32834e-08	1.91322e-07	6.33833e-08	0.0734426	1.37345e-09	1.17974e-10	1.85419e-09	2.65568e-09	3.69883e-07	5.74421e-08	1.46995e-10	8.09988e-08	5.5757e-10	1.4373e-13	7.25905e-14	0.151565	0.727664	1.79874e-09	8.41486e-09	1.37904e-08	7.9217e-05	1.54629e-07	1.4728e-08	1.30014e-08	2.26974e-08	1.21154e-08	1.07883e-08	8.42955e-09	4.0424e-08	1.77858e-06	1.21826e-08	3.03725e-07	1.63646e-11	5.16583e-12	1.65502e-08	1.46539e-08	0.246002	0.177	0.177	0.177	-6.21365e+27	0.177	0.151109	59	-1.36527e+08	1565.89	6.86162e-05	9.21104e-05	25.8716	12.8352	20.8676	6.28089	-1.22111	-13.0922	-225222	-225198	17.467	0.0299787	0.0540736	-0.0240949	-304.163	-0.00751836	0.00242221	-0.00994057	-156833	
10.05	2105.06	0.177	0.177	2059.21	1.77868e-25	0.00148638	0.0186182	0.000234115	0.00590655	0.0012918	4.85327e-06	1.1067e-06	3.10079e-09	0.0197028	1.59033e-08	4.9159e-08	1.53485e-09	7.32833e-08	1.91322e-07	6.33831e-08	0.0734426	1.37345e-09	1.17974e-10	1.85419e-09	2.65568e-09	3.69883e-07	5.74422e-08	1.46995e-10	8.09989e-08	5.57565e-10	1.43729e-13	7.25901e-14	0.151565	0.727664	1.79874e-09	8.41488e-09	1.37908e-08	7.9221e-05	1.54629e-07	1.47288e-08	1.30018e-08	2.26984e-08	1.21159e-08	1.07883e-08	8.42987e-09	4.04256e-08	1.77865e-06	1.21831e-08	3.03737e-07	1.63652e-11	5.16583e-12	1.6551e-08	1.46546e-08	0.246002	0.177	0.177	0.177	-6.21365e+27	0.177	0.151109	59	-1.36527e+08	1565.89	6.86162e-05	9.21104e-05	25.8716	12.8352	20.8676	6.2809	-1.22111	-13.0922	-225222	-225198	17.467	0.0299795	0.0540756	-0.0240961	-304.163	-0.00751833	0.00242221	-0.00994054	-156833	
